name,city,state,location,size_category,type,college_years,college_public_private,acceptance_rate,sat_25th_percentile,sat_50th_percentile,sat_75th_percentile,act_25th_percentile,act_50th_percentile,act_75th_percentile,tuition_in_state,tuition_out_state,room_board,graduation_rate,retention_rate,enrollment,student_faculty_ratio,num_majors,college_board_code,region,popular_majors,median_earnings_10_years,campus_setting,test_optional,gpa_optional,application_deadline_fall,application_fee,average_financial_aid,avg_after_aid,avg_after_aid_costs,percent_receiving_aid,transfer_acceptance_rate,latitude,longitude,housing_available,url,ipeds_id,rating
Alfred University,,,,Small,Private,4,,0.48,1110,1195,1280,24,28,32,,26127,16130,0.56,0.72,1420,8,55,2005,,,,Rural,false,false,August 1,,38342,26,26127,0.76,,,,,,,56
Alice Lloyd College,,,,Small,Private,4,,0.36,850,1040,1230,16,18,21,,18066,8906,0.26,0.57,600,14,18,1098,,,,Rural,false,false,Not available,,10000,18,18066,0.7,,,,,,,45
Allegheny College,,,,Small,Private,4,,0.55,1165,1260,1355,24,27,30,,27929,15330,0.67,0.78,1156,8,33,2006,,,,Suburban,false,false,February 15,,53304,28,27929,0.7,,,,,,,55
Allen University,,,,Small,Private,4,,0.43,,1100,,,25,,,11058,4506,0.13,0.58,800,15,13,,,,,Urban,false,false,Not available,,20000,11,11058,0.7,,,,,,,27
Alma College,,,,Small,Private,4,,0.57,1000,1094,1188,18,22,25,,24862,14748,0.64,0.85,1148,9,52,1010,,,,Rural,false,false,January 15,,44012,25,24862,0.74,,,,,,,51
Alvernia University,,,,Small,Private,4,,0.58,1103,1182,1260,23,23,23,,26166,15850,0.58,0.72,2152,14,57,2431,,,,Suburban,false,false,Not available,,35859,26,26166,0.81,,,,,,,50
Alverno College,,,,Small,Private,4,,0.86,,1100,,16,18,20,,17884,11150,0.52,0.61,631,13,73,1012,,,,Urban,false,false,Not available,,29906,18,17884,0.73,,,,,,,34
Ambassador University,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,1000,,,,,,,Rural,true,false,Rolling,,15000,15000,20000,0.7,,,,,,,46
Amber University,,,,Medium,Public,,,0.5,,1200,,,25,,,36000,13000,0.65,0.75,8000,,,,,,,Suburban,true,false,2024-01-15,,8000,8000,36000,0.6,,,,,,,54
American Academy of Nutrition,,,,Small,Private,,,0.5,,1200,,,25,,,20000,12000,0.7,0.8,1000,,,,,,,Urban,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,52
American Business & Technology University,,,,Small,Private For-Profit,,,0.7,,1000,,,20,,,15000,12000,0.6,0.7,800,,,,,,,Urban,true,false,Rolling,,10000,10000,15000,0.6,,,,,,,39
American Conservatory of Music,,,,Small,Private,,,0.5,,1200,,,25,,,30000,12000,0.75,0.85,1000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,30000,0.7,,,,,,,53
American Conservatory Theater,,,,Small,Private,,,0.3,,1300,,,28,,,40000,15000,0.85,0.9,500,,,,,,,Urban,true,false,2024-01-01,,20000,20000,40000,0.7,,,,,,,63
American Film Institute Center for Advanced Film and Television Studies,,,,Small,Private,,,0.2,,1350,,,30,,,50000,12000,0.85,0.9,3000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,50000,0.8,,,,,,,69
American Indian College,,,,Small,Private For-Profit,,,0.7,,1000,,,20,,,12000,12000,0.5,0.7,300,,,,,,,Urban,true,false,Rolling,,8000,8000,12000,0.6,,,,,,,37
American InterContinental University - Atlanta,,,,Medium,Private For-Profit,,,0.7,,1050,,,21,,,20000,12000,0.6,0.7,5000,,,,,,,Urban,true,false,Rolling,,10000,10000,20000,0.7,,,,,,,44
American InterContinental University - Ft. Lauderdale,,,,Medium,Private For-Profit,,,0.7,,1000,,,20,,,20000,12000,0.6,0.7,5000,,,,,,,Urban,true,false,Rolling,,10000,10000,20000,0.7,,,,,,,43
American InterContinental University - Georgia,,,,Medium,Private For-Profit,,,0.7,,1000,,,20,,,20000,12000,0.5,0.7,5000,,,,,,,Suburban,true,false,Rolling,,10000,10000,20000,0.6,,,,,,,41
American InterContinental University Online,,,,Medium,Private For-Profit,,,0.7,,1000,,,20,,,20000,12000,0.5,0.7,10000,,,,,,,Suburban,true,false,Rolling,,15000,15000,20000,0.7,,,,,,,42
American International College,,,,Small,Private,4,,0.58,,1100,,,24,,,21454,17430,0.42,0.63,1143,17,55,3002,,,,Urban,false,false,Not available,,27360,21,21454,1,,,,,,,28
American Jewish University,,,,Small,Private,,,0.5,,1200,,,25,,,35000,12000,0.7,0.8,700,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,35000,0.75,,,,,,,51
American Military University,,,,Large,Private For-Profit,,,0.7,,1100,,,24,,,6000,12000,0.5,0.7,20000,,,,,,,Rural,true,false,Rolling,,8000,8000,6000,0.6,,,,,,,45
American Public University,,,,Large,Private For-Profit,,,0.7,,1100,,,25,,,12000,12000,0.5,0.7,30000,,,,,,,Suburban,true,false,Rolling,,8000,8000,12000,0.6,,,,,,,45
American University,,,,Medium,Private,4,,0.62,1300,1365,1430,29,30,32,,40189,18370,0.78,0.88,7266,10,121,5007,,,,Suburban,false,false,January 15,,47908,40,40189,0.46,,,,,,,61
American World University,,,,Medium,Private For-Profit,,,0.7,,1100,,,25,,,15000,12000,0.5,0.7,5000,,,,,,,Urban,true,false,Rolling,,8000,8000,15000,0.6,,,,,,,45
American-European School of Management,,,,Medium,Private,,,0.5,,1200,,,25,,,25000,12000,0.7,0.8,5000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,25000,0.7,,,,,,,55
Amherst College,,,,Small,Private,4,,0.09,1500,1530,1560,33,34,35,,17965,19260,0.93,0.97,1914,6,39,3003,,,,Suburban,false,false,January 6,,69507,18,17965,0.57,,,,,,,84
Anderson College,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.65,0.75,1500,,,,,,,Suburban,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,48
Anderson University,,,,Small,Private,,,0.5,,1150,,,24,,,30000,12000,0.65,0.75,1500,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,30000,0.7,,,,,,,50
Andon College - Modesto,,,,Small,Private For-Profit,,,0.7,,1100,,,25,,,15000,12000,0.6,0.7,1000,,,,,,,Urban,true,false,Rolling,,8000,8000,15000,0.6,,,,,,,43
Andon College - Stockton,,,,Small,Private For-Profit,,,0.7,,1100,,,25,,,15000,12000,0.6,0.75,1000,,,,,,,Urban,true,false,Rolling,,8000,8000,15000,0.6,,,,,,,44
Andrew Jackson University,,,,Small,Private For-Profit,,,0.7,,1100,,,25,,,15000,12000,0.6,0.7,1000,,,,,,,Urban,true,false,Rolling,,8000,8000,15000,0.6,,,,,,,43
Andrews University,,,,Small,Private,4,,0.09,1080,1200,1320,20,23,26,,24874,11154,0.66,0.83,993,10,118,1030,,,,Rural,false,false,May 15,,33155,25,24874,0.36,,,,,,,70
Angelo State University,,,,Medium,Public,4,,0.83,910,1030,1150,18,21,24,,12518,10820,0.41,0.68,5770,19,63,6644,,,,Suburban,false,false,Not available,,12892,13,12518,0.68,,,,,,,38
Anna Maria College,,,,Small,Private,4,,0.82,,1100,,,25,,,28732,15312,0.4,0.65,1126,12,47,3005,,,,Suburban,false,false,Not available,,20000,29,28732,0.8,,,,,,,22
Antioch New England Graduate School,,,,Small,Private,,,0.5,,1200,,,25,,,25000,12000,0.7,0.8,800,,,,,,,Rural,true,false,2024-01-15,,20000,20000,25000,0.75,,,,,,,51
Antioch College,,,,Small,Private,4,,0.89,,1150,,,24,,,10979,7640,0.26,0.72,121,6,12,1017,,,,Rural,false,false,August 1,,36025,11,10979,0.95,,,,,,,19
Antioch University Los Angeles,,,,Small,Private,4,,0.5,,1150,,,24,,,25000,12000,0.6,0.75,1000,2,8,,,,,Urban,false,false,Not available,,20000,20000,25000,0.7,,,,,,,5
Antioch University Santa Barbara,,,,Small,Private,4,,0.6,,1200,,,25,,,25000,12000,0.7,0.75,500,6,7,,,,,Urban,false,false,Not available,,20000,20000,25000,0.8,,,,,,,5
Antioch University Seattle,,,,Small,Private,,,0.5,,1200,,,25,,,20000,12000,0.7,0.8,1000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,20000,0.7,,,,,,,52
Appalachian Bible College,,,,Small,Private,4,,0.99,920,1015,1110,21,24,26,,18749,9900,0.7,0.66,254,7,2,7305,,,,Rural,false,false,Not available,,20007,19,18749,0.92,,,,,,,39
Appalachian State University,,,,Large,Public,4,,0.9,1140,1205,1270,21,24,27,,14712,12258,0.73,0.84,19444,16,117,5010,,,,Rural,false,false,January 1,,10203,15,14712,0.43,,,,,,,46
Aquinas College,,,,Small,Private,4,,0.91,920,1025,1130,20,23,26,,19890,12498,0.62,0.78,1014,11,96,,,,,Suburban,false,false,November 1,,38725,20,19890,0.69,,,,,,,40
Arcadia University,,,,Small,Private,4,,0.8,1070,1168,1265,26,28,30,,26994,14870,0.64,0.79,1948,10,80,2039,,,,Suburban,false,false,December 15,,20000,27,26994,0.7,,,,,,,48
Argosy University,,,,Medium,Private For-Profit,,,0.7,,1100,,,25,,,20000,12000,0.6,0.7,5000,,,,,,,Urban,true,false,Rolling,,20000,20000,20000,0.8,,,,,,,46
Argosy University - Hawaii,,,,Small,Private For-Profit,,,0.7,,1100,,,25,,,20000,12000,0.6,0.7,1500,,,,,,,Urban,true,false,Rolling,,15000,15000,20000,0.8,,,,,,,44
Arizona Christian University,,,,Small,Private,4,,0.74,1050,1125,1200,17,21,25,,32397,12704,0.41,0.55,751,18,29,,,,,Urban,false,false,Not available,,24040,32,32397,0.7,,,,,,,37
Arizona State University,,,,Large,Public,4,,0.9,,1200,,,25,,,16401,17754,0.68,0.86,64672,18,319,4007,,,,Urban,false,false,Not available,,17539,16,16401,0.5,,,,,,,27
"Arizona State University, Downtown Phoenix Campus",,,,Medium,Public,,,0.85,,1150,,,24,,,30000,15000,0.7,0.8,10000,,,,,,,Urban,true,false,2024-05-01,,12000,12000,30000,0.75,,,,,,,44
"Arizona State University, Polytechnic Campus",,,,Medium,Public,,,0.65,,1200,,,25,,,30500,13000,0.65,0.8,8000,,,,,,,Suburban,true,false,2024-01-01,,8000,8000,30500,0.65,,,,,,,50
"Arizona State University, Tempe Campus",,,,Large,Public,,,0.85,,1300,,,28,,,30000,12000,0.68,0.85,50000,,,,,,,Suburban,true,false,2024-01-01,,8000,8000,30000,0.65,,,,,,,46
"Arizona State University, West Campus",,,,Medium,Public,,,0.65,,1150,,,24,,,30000,12000,0.58,0.75,6000,,,,,,,Urban,true,false,2024-01-01,,8000,8000,30000,0.65,,,,,,,48
Arkansas State University,,,,Medium,Public,4,,0.8,1010,1095,1180,18,21,24,,13002,11550,0.53,0.78,9110,17,138,,,,,Suburban,false,false,March 30,,5598,13,13002,0.62,,,,,,,43
Arkansas State University: Beebe,,,,Small,Public,2,,0.7,,1050,,,21,,,8996,6550,0.5,0.62,2367,15,37,,,,,Suburban,false,false,Not available,,7000,9,8996,0.6,,,,,,,11
Arkansas State University: Mountain Home,,,,Small,Public,2,,0.7,,1050,,,21,,,9661,12000,0.55,0.63,1500,14,40,,,,,Suburban,false,false,Not available,,7000,10,9661,0.6,,,,,,,9
Arkansas State University: Newport,,,,Small,Public,2,,0.7,,1050,,,21,,,8563,12000,0.5,0.55,1308,11,35,,,,,Rural,false,false,Not available,,8000,9,8563,0.6,,,,,,,10
Arkansas Tech University,,,,Medium,Public,4,,0.96,900,956,1012,17,20,23,,11443,10338,0.43,0.74,5388,17,131,,,,,Rural,false,false,Not available,,12443,11,11443,0.64,,,,,,,35
Arlington Baptist University,,,,Small,Private,4,,0.7,,1100,,,24,,,26503,9166,0.05,0.33,500,18,5,,,,,Urban,false,false,Not available,,15000,27,26503,0.8,,,,,,,6
Armstrong Atlantic State University,,,,Medium,Public,,,0.6,,1100,,,25,,,24000,12000,0.5,0.7,6000,,,,,,,Urban,true,false,2024-01-01,,8000,8000,24000,0.6,,,,,,,48
Armstrong University,,,,Medium,Public,,,0.5,,1150,,,24,,,20000,12000,0.6,0.75,7000,,,,,,,Urban,true,false,2024-01-01,,8000,8000,20000,0.65,,,,,,,52
Art Academy of Cincinnati,,,,Small,Private,4,,0.34,,1150,,12,18,24,,28899,2985,0.44,0.64,206,9,10,1002,,,,Urban,false,false,May 1,,20000,29,28899,0.7,,,,,,,49
Art Center College of Design,,,,Small,Private,4,,0.76,,1400,,,32,,,53306,15000,0.83,0.86,2019,9,13,4009,,,,Suburban,false,false,September 14,,20000,53,53306,0.8,,,,,,,34
Art Institute of Charlotte,,,,Small,Private For-Profit,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,1500,,,,,,,Urban,true,false,Rolling,,15000,15000,20000,0.7,,,,,,,47
Art Institute of Southern California,,,,Small,Private For-Profit,,,0.7,,1100,,,24,,,20000,12000,0.6,0.75,1500,,,,,,,Urban,true,false,Rolling,,15000,15000,20000,0.7,,,,,,,43
Arthur D. Little Management Education Institute,,,,Small,Private,,,0.3,,1300,,,28,,,40000,15000,0.85,0.9,1500,,,,,,,Urban,true,false,2024-01-15,,20000,20000,40000,0.7,,,,,,,64
Asbury College,,,,Small,Private,,,0.5,,1150,,,24,,,32000,12000,0.65,0.75,1200,,,,,,,Rural,true,false,2024-01-15,,15000,15000,32000,0.7,,,,,,,50
Ashland University,,,,Small,Private,4,,0.81,1050,1165,1280,20,23,26,,21971,13580,0.61,0.73,726,15,109,,,,,Rural,false,false,Not available,,27843,22,21971,0.52,,,,,,,41
Assumption University,,,,Small,Private,4,,0.83,1110,1180,1250,23,26,28,,29072,16344,0.75,0.84,1670,11,49,3009,,,,Suburban,false,false,April 1,,45310,29,29072,0.69,,,,,,,48
Athenaeum of Ohio,,,,Small,Private,,,0.5,,1200,,,25,,,20000,12000,0.75,0.85,500,,,,,,,Urban,true,false,2024-01-15,,20000,20000,20000,0.7,,,,,,,52
Athens State University,,,,Small,Public,4,,0.7,,1100,,,24,,,20000,8613,0.5,0.7,2446,14,62,706,,,,Suburban,false,false,Not available,,8000,8000,20000,0.6,,,,,,,5
Atlanta Christian College,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.7,0.75,800,,,,,,,Suburban,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,48
Atlanta College of Art,,,,Small,Private,,,0.5,,1200,,,25,,,25000,12000,0.7,0.8,1000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,25000,0.75,,,,,,,52
Atlantic International University,,,,Small,Private For-Profit,,,0.7,,1100,,,24,,,20000,12000,0.6,0.7,1000,,,,,,,Urban,true,false,Rolling,,10000,10000,20000,0.7,,,,,,,42
Atlantic Union College,,,,Small,Private,,,0.6,,1150,,,24,,,20000,12000,0.7,0.75,800,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,20000,0.8,,,,,,,47
Atlantic University,,,,Medium,Private,,,0.5,,1200,,,25,,,25000,12000,0.7,0.8,5000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,25000,0.7,,,,,,,55
Auburn University,,,,Large,Public,,,0.8,,1230,,,27,,,31000,13000,0.7,0.88,30000,,,,,,,Suburban,true,false,2024-01-15,,8500,8500,31000,0.6,,,,,,,48
Auburn University at Montgomery,,,,Medium,Public,,,0.6,,1100,,,25,,,18000,12000,0.5,0.7,5000,,,,,,,Urban,true,false,2024-08-01,,7000,7000,18000,0.6,,,,,,,48
Audrey Cohen College,,,,Small,Private For-Profit,,,0.7,,1100,,,25,,,20000,12000,0.6,0.7,1000,,,,,,,Urban,true,false,Rolling,,15000,15000,20000,0.7,,,,,,,43
Augsburg College,,,,Small,Private,,,0.5,,1150,,,25,,,40000,13000,0.6,0.75,3000,,,,,,,Urban,true,false,2024-01-15,,25000,25000,40000,0.75,,,,,,,52
Augusta State University,,,,Medium,Public,,,0.6,,1100,,,25,,,22000,12000,0.55,0.75,7000,,,,,,,Urban,true,false,2024-01-01,,7000,7000,22000,0.6,,,,,,,49
Augustana College,,,,Small,Private,,,0.6,,1200,,,25,,,40000,13000,0.7,0.8,2500,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,40000,0.7,,,,,,,50
Augustana College,,,,Small,Private,,,0.6,,1200,,,25,,,35000,12000,0.7,0.8,2000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,35000,0.75,,,,,,,50
Aurora University,,,,Small,Private,,,0.5,,1150,,,24,,,32000,12000,0.6,0.75,4000,,,,,,,Suburban,true,false,2024-01-15,,15000,15000,32000,0.7,,,,,,,51
Austin College,,,,Small,Private,,,0.5,,1200,,,25,,,40000,12000,0.7,0.8,1300,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,40000,0.7,,,,,,,52
Austin Community College,,,,Large,Public,,,0.7,,1100,,,25,,,24000,12000,0.5,0.7,40000,,,,,,,Urban,true,false,Rolling,,7000,7000,24000,0.6,,,,,,,44
Austin Peay State University,,,,Medium,Public,,,0.6,,1100,,,24,,,23000,12000,0.5,0.7,10000,,,,,,,Suburban,true,false,2024-01-15,,8000,8000,23000,0.6,,,,,,,48
Ave Maria University,,,,Small,Private,,,0.5,,1200,,,25,,,20000,12000,0.7,0.8,1000,,,,,,,Rural,true,false,2024-01-15,,20000,20000,20000,0.7,,,,,,,52
Averett College,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,1000,,,,,,,Rural,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,46
Avila College,,,,Small,Private,,,0.5,,1150,,,24,,,23000,12000,0.6,0.7,1000,,,,,,,Urban,true,false,2024-01-15,,15000,15000,23000,0.7,,,,,,,48
Azusa Pacific University,,,,Medium,Private,,,0.55,,1250,,,27,,,35000,13000,0.68,0.78,6000,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,35000,0.75,,,,,,,54
Babson College,,,,Small,Private,,,0.2,,1400,,,32,,,57000,15000,0.87,0.93,3000,,,,,,,Suburban,true,false,2024-01-01,,20000,20000,57000,0.85,,,,,,,71
Baker College of Auburn Hills,,,,Small,Private For-Profit,,,0.7,,1100,,,24,,,15000,12000,0.5,0.7,2000,,,,,,,Suburban,true,false,Rolling,,8000,8000,15000,0.6,,,,,,,42
Baker College of Cadillac,,,,Small,Private For-Profit,,,0.7,,1100,,,24,,,12000,12000,0.6,0.7,1500,,,,,,,Rural,true,false,Rolling,,8000,8000,12000,0.6,,,,,,,43
Baker College of Flint,,,,Small,Private For-Profit,,,0.7,,1050,,,21,,,12000,12000,0.5,0.7,2000,,,,,,,Urban,true,false,Rolling,,8000,8000,12000,0.6,,,,,,,40
Baker College of Mount Clemens,,,,Small,Private For-Profit,,,0.7,,1100,,,25,,,15000,12000,0.5,0.7,2000,,,,,,,Suburban,true,false,Rolling,,8000,8000,15000,0.6,,,,,,,43
Baker College of Muskegon,,,,Small,Private For-Profit,,,0.7,,1050,,,21,,,12000,12000,0.5,0.7,2000,,,,,,,Suburban,true,false,Rolling,,8000,8000,12000,0.6,,,,,,,40
Baker College of Owosso,,,,Small,Private For-Profit,,,0.7,,1050,,,21,,,12000,12000,0.5,0.7,1000,,,,,,,Suburban,true,false,Rolling,,8000,8000,12000,0.6,,,,,,,39
Baker College of Port Huron,,,,Small,Private For-Profit,,,0.7,,1050,,,21,,,12000,12000,0.5,0.7,1500,,,,,,,Suburban,true,false,Rolling,,8000,8000,12000,0.6,,,,,,,39
Baker University,,,,Small,Private,,,0.6,,1100,,,25,,,30000,12000,0.6,0.7,1000,,,,,,,Rural,true,false,2024-01-15,,15000,15000,30000,0.7,,,,,,,46
Baldwin-Wallace College,,,,Small,Private,,,0.5,,1200,,,25,,,35000,13000,0.7,0.8,3000,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,35000,0.7,,,,,,,54
Ball State University,,,,Large,Public,,,0.7,,1120,,,24,,,29000,12000,0.6,0.76,22000,,,,,,,Suburban,true,false,2024-01-15,,8000,8000,29000,0.6,,,,,,,47
Baltimore Hebrew University,,,,Small,Private,,,0.5,,1150,,,24,,,25000,12000,0.7,0.8,500,,,,,,,Urban,true,false,Rolling,,20000,20000,25000,0.7,,,,,,,50
Baltimore International College,,,,Small,Private For-Profit,,,0.7,,1100,,,24,,,20000,12000,0.6,0.7,1000,,,,,,,Urban,true,false,Rolling,,10000,10000,20000,0.7,,,,,,,42
Bank Street College of Education,,,,Small,Private,,,0.5,,1200,,,25,,,30000,15000,0.85,0.8,1000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,30000,0.8,,,,,,,54
Baptist Bible College of Missouri,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.65,0.75,800,,,,,,,Urban,true,false,Rolling,,15000,15000,20000,0.7,,,,,,,47
Baptist Bible College of Pennsylvania,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.7,0.75,800,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,20000,0.8,,,,,,,48
Barat College,,,,Small,Private,,,0.5,,1150,,,24,,,25000,12000,0.65,0.75,1000,,,,,,,Suburban,true,false,2024-01-15,,15000,15000,25000,0.7,,,,,,,50
Barber-Scotia College,,,,Small,Private,,,0.7,,1000,,,20,,,20000,12000,0.5,0.7,500,,,,,,,Urban,true,false,Rolling,,15000,15000,20000,0.75,,,,,,,38
Barclay College,,,,Small,Private,,,0.7,,1100,,,24,,,20000,12000,0.6,0.7,300,,,,,,,Rural,true,false,2024-01-15,,15000,15000,20000,0.8,,,,,,,42
Bard College,,,,Small,Private,,,0.65,,1350,,,30,,,57000,15000,0.85,0.9,2500,,,,,,,Rural,true,false,2024-01-15,,25000,25000,57000,0.75,,,,,,,55
Bard Graduate Center for Studies in the Decorative Arts,,,,Small,Private,,,0.3,,1350,,,30,,,50000,15000,0.85,0.9,3000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,50000,0.8,,,,,,,66
Barnard College - Columbia University,,,,Small,Private,,,0.12,,1450,,,32,,,61000,16000,0.93,0.95,2500,,,,,,,Urban,true,false,2024-01-01,,40000,40000,61000,0.6,,,,,,,78
Barry University,,,,Medium,Private,,,0.5,,1150,,,24,,,32000,12000,0.65,0.75,7000,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,32000,0.8,,,,,,,53
Bartlesville Wesleyan College,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.65,0.75,800,,,,,,,Suburban,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,47
Barton College,,,,Small,Private,,,0.5,,1100,,,25,,,30000,12000,0.6,0.75,1000,,,,,,,Suburban,true,false,2024-01-15,,15000,15000,30000,0.7,,,,,,,50
Bastyr University,,,,Small,Private,,,0.5,,1200,,,25,,,20000,12000,0.7,0.8,1000,,,,,,,Suburban,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,52
Bates College,,,,Small,Private,,,0.15,,1380,,,32,,,60000,15000,0.88,0.92,2000,,,,,,,Suburban,true,false,2024-01-01,,25000,25000,60000,0.75,,,,,,,77
Bauder College,,,,Small,Private For-Profit,,,0.7,,1050,,,21,,,20000,12000,0.6,0.75,800,,,,,,,Urban,true,false,Rolling,,15000,15000,20000,0.8,,,,,,,41
